,job
2250,services
2251,management
2252,admin.
2253,management
2254,services
2255,management
2256,student
2257,student
2258,admin.
2259,services
2260,management
2261,technician
2262,management
2263,management
2264,technician
2265,admin.
2266,admin.
2267,entrepreneur
2268,blue-collar
2269,unemployed
2270,services
2271,management
2272,student
2273,admin.
2274,admin.
2275,admin.
2276,management
2277,management
2278,admin.
2279,retired
2280,technician
2281,retired
2282,self-employed
2283,student
2284,technician
2285,management
2286,retired
2287,management
2288,blue-collar
2289,technician
2290,housemaid
2291,management
2292,unemployed
2293,unemployed
2294,self-employed
2295,unemployed
2296,management
2297,blue-collar
2298,services
2299,technician
2300,technician
2301,admin.
2302,self-employed
2303,technician
2304,blue-collar
2305,admin.
2306,entrepreneur
2307,management
2308,technician
2309,services
2310,management
2311,self-employed
2312,management
2313,management
2314,admin.
2315,services
2316,entrepreneur
2317,technician
2318,retired
2319,management
2320,management
2321,services
2322,student
2323,management
2324,admin.
2325,admin.
2326,admin.
2327,management
2328,management
2329,management
2330,blue-collar
2331,technician
2332,services
2333,technician
2334,management
2335,retired
2336,management
2337,services
2338,management
2339,management
2340,retired
2341,management
2342,retired
2343,admin.
2344,retired
2345,retired
2346,management
2347,management
2348,student
2349,management
2350,entrepreneur
2351,self-employed
2352,retired
2353,blue-collar
2354,blue-collar
2355,services
2356,retired
2357,technician
2358,management
2359,management
2360,entrepreneur
2361,technician
2362,management
2363,housemaid
2364,admin.
2365,blue-collar
2366,admin.
2367,blue-collar
2368,management
2369,retired
2370,services
2371,unemployed
2372,self-employed
2373,unemployed
2374,blue-collar
2375,admin.
2376,entrepreneur
2377,management
2378,blue-collar
2379,management
2380,technician
2381,services
2382,retired
2383,retired
2384,admin.
2385,management
2386,services
2387,technician
2388,retired
2389,management
2390,unemployed
2391,student
2392,retired
2393,housemaid
2394,management
2395,management
2396,student
2397,retired
2398,retired
2399,technician
2400,management
2401,blue-collar
2402,management
2403,student
2404,management
2405,student
2406,student
2407,blue-collar
2408,management
2409,management
2410,blue-collar
2411,student
2412,entrepreneur
2413,management
2414,management
2415,management
2416,admin.
2417,management
2418,management
2419,technician
2420,technician
2421,retired
2422,technician
2423,management
2424,technician
2425,management
2426,self-employed
2427,admin.
2428,management
2429,student
2430,admin.
2431,management
2432,management
2433,management
2434,student
2435,unemployed
2436,management
2437,services
2438,management
2439,admin.
2440,unknown
2441,retired
2442,retired
2443,management
2444,retired
2445,admin.
2446,management
2447,management
2448,technician
2449,services
2450,retired
2451,admin.
2452,retired
2453,unemployed
2454,admin.
2455,management
2456,admin.
2457,services
2458,unemployed
2459,technician
2460,entrepreneur
2461,retired
2462,student
2463,management
2464,student
2465,technician
2466,retired
2467,self-employed
2468,self-employed
2469,management
2470,blue-collar
2471,unemployed
2472,services
2473,housemaid
2474,technician
2475,retired
2476,blue-collar
2477,unemployed
2478,management
2479,management
2480,technician
2481,admin.
2482,management
2483,admin.
2484,admin.
2485,self-employed
2486,blue-collar
2487,services
2488,student
2489,self-employed
2490,technician
2491,management
2492,retired
2493,student
2494,admin.
2495,management
2496,technician
2497,management
2498,student
2499,management
2500,management
2501,blue-collar
2502,technician
2503,services
2504,services
2505,technician
2506,retired
2507,unemployed
2508,blue-collar
2509,management
2510,admin.
2511,admin.
2512,services
2513,technician
2514,student
2515,management
2516,retired
2517,technician
2518,management
2519,retired
2520,management
2521,technician
2522,retired
2523,technician
2524,management
2525,management
2526,unemployed
2527,admin.
2528,unemployed
2529,management
2530,student
2531,management
2532,blue-collar
2533,management
2534,technician
2535,management
2536,retired
2537,management
2538,unemployed
2539,entrepreneur
2540,blue-collar
2541,admin.
2542,management
2543,retired
2544,retired
2545,services
2546,management
2547,technician
2548,retired
2549,management
2550,management
2551,student
2552,student
2553,housemaid
2554,management
2555,technician
2556,technician
2557,retired
2558,admin.
2559,technician
2560,retired
2561,admin.
2562,management
2563,management
2564,management
2565,management
2566,technician
2567,student
2568,entrepreneur
2569,self-employed
2570,technician
2571,management
2572,housemaid
2573,management
2574,student
2575,admin.
2576,management
2577,student
2578,retired
2579,technician
2580,student
2581,admin.
2582,retired
2583,retired
2584,blue-collar
2585,unemployed
2586,management
2587,technician
2588,housemaid
2589,blue-collar
2590,technician
2591,retired
2592,retired
2593,management
2594,services
2595,housemaid
2596,retired
2597,technician
2598,retired
2599,retired
2600,retired
2601,management
2602,management
2603,management
2604,blue-collar
2605,retired
2606,technician
2607,technician
2608,technician
2609,unemployed
2610,blue-collar
2611,unemployed
2612,management
2613,technician
2614,blue-collar
2615,admin.
2616,management
2617,student
2618,management
2619,management
2620,blue-collar
2621,management
2622,blue-collar
2623,management
2624,management
2625,management
2626,admin.
2627,management
2628,technician
2629,retired
2630,retired
2631,services
2632,admin.
2633,self-employed
2634,admin.
2635,unemployed
2636,admin.
2637,management
2638,management
2639,admin.
2640,technician
2641,retired
2642,admin.
2643,retired
2644,technician
2645,admin.
2646,retired
2647,technician
2648,management
2649,services
2650,management
2651,retired
2652,admin.
2653,retired
2654,student
2655,self-employed
2656,technician
2657,admin.
2658,management
2659,management
2660,student
2661,management
2662,management
2663,blue-collar
2664,retired
2665,retired
2666,retired
2667,management
2668,retired
2669,unemployed
2670,retired
2671,management
2672,admin.
2673,management
2674,admin.
2675,management
2676,entrepreneur
2677,unknown
2678,admin.
2679,technician
2680,technician
2681,retired
2682,blue-collar
2683,retired
2684,blue-collar
2685,management
2686,retired
2687,retired
2688,admin.
2689,retired
2690,technician
2691,technician
2692,admin.
2693,blue-collar
2694,housemaid
2695,blue-collar
2696,services
2697,technician
2698,management
2699,unemployed
2700,management
2701,technician
2702,management
2703,housemaid
2704,technician
2705,management
2706,management
2707,management
2708,retired
2709,retired
2710,management
2711,blue-collar
2712,admin.
2713,retired
2714,management
2715,admin.
2716,management
2717,retired
2718,management
2719,management
2720,management
2721,blue-collar
2722,entrepreneur
2723,student
2724,technician
2725,management
2726,management
2727,management
2728,management
2729,management
2730,retired
2731,technician
2732,retired
2733,management
2734,management
2735,admin.
2736,unknown
2737,blue-collar
2738,technician
2739,retired
2740,management
2741,admin.
2742,admin.
2743,unemployed
2744,technician
2745,student
2746,retired
2747,management
2748,entrepreneur
2749,management
2750,management
2751,self-employed
2752,technician
2753,admin.
2754,retired
2755,management
2756,housemaid
2757,technician
2758,management
2759,blue-collar
2760,admin.
2761,services
2762,unemployed
2763,management
2764,retired
2765,retired
2766,management
2767,services
2768,management
2769,management
2770,retired
2771,services
2772,technician
2773,technician
2774,management
2775,technician
2776,blue-collar
2777,services
2778,housemaid
2779,student
2780,technician
2781,retired
2782,retired
2783,technician
2784,retired
2785,technician
2786,admin.
2787,management
2788,management
2789,housemaid
2790,student
2791,unemployed
2792,management
2793,retired
2794,management
2795,self-employed
2796,technician
2797,retired
2798,student
2799,admin.
2800,management
2801,blue-collar
2802,retired
2803,technician
2804,retired
2805,technician
2806,self-employed
2807,blue-collar
2808,retired
2809,retired
2810,technician
2811,retired
2812,management
2813,technician
2814,services
2815,blue-collar
2816,retired
2817,technician
2818,management
2819,management
2820,management
2821,technician
2822,retired
2823,retired
2824,retired
2825,retired
2826,unknown
2827,technician
2828,technician
2829,blue-collar
2830,services
2831,student
2832,unknown
2833,admin.
2834,management
2835,housemaid
2836,management
2837,retired
2838,student
2839,self-employed
2840,retired
2841,retired
2842,admin.
2843,housemaid
2844,management
2845,management
2846,management
2847,technician
2848,admin.
2849,self-employed
2850,retired
2851,management
2852,blue-collar
2853,management
2854,retired
2855,technician
2856,management
2857,retired
2858,management
2859,management
2860,technician
2861,student
2862,management
2863,technician
2864,blue-collar
2865,retired
2866,retired
2867,retired
2868,management
2869,services
2870,student
2871,retired
2872,technician
2873,self-employed
2874,management
2875,student
2876,management
2877,management
2878,management
2879,admin.
2880,retired
2881,self-employed
2882,management
2883,technician
2884,management
2885,retired
2886,management
2887,technician
2888,retired
2889,technician
2890,admin.
2891,student
2892,student
2893,management
2894,self-employed
2895,entrepreneur
2896,management
2897,student
2898,management
2899,management
2900,management
2901,housemaid
2902,unemployed
2903,admin.
2904,management
2905,management
2906,management
2907,technician
2908,services
2909,management
2910,management
2911,student
2912,self-employed
2913,student
2914,blue-collar
2915,management
2916,technician
2917,services
2918,management
2919,unemployed
2920,management
2921,unknown
2922,retired
2923,management
2924,blue-collar
2925,retired
2926,admin.
2927,student
2928,services
2929,technician
2930,admin.
2931,retired
2932,retired
2933,retired
2934,admin.
2935,student
2936,services
2937,technician
2938,retired
2939,services
2940,retired
2941,technician
2942,retired
2943,student
2944,admin.
2945,blue-collar
2946,admin.
2947,retired
2948,blue-collar
2949,management
2950,student
2951,technician
2952,management
2953,technician
2954,blue-collar
2955,retired
2956,admin.
2957,management
2958,technician
2959,retired
2960,retired
2961,technician
2962,technician
2963,management
2964,admin.
2965,management
2966,student
2967,retired
2968,admin.
2969,housemaid
2970,technician
2971,technician
2972,student
2973,admin.
2974,technician
2975,blue-collar
2976,retired
2977,technician
2978,admin.
2979,retired
2980,management
2981,unemployed
2982,technician
2983,services
2984,retired
2985,management
2986,student
2987,management
2988,management
2989,student
2990,admin.
2991,retired
2992,management
2993,student
2994,technician
2995,student
2996,admin.
2997,management
2998,admin.
2999,technician
3000,unemployed
3001,retired
3002,retired
3003,retired
3004,retired
3005,services
3006,management
3007,retired
3008,retired
3009,management
3010,management
3011,management
3012,retired
3013,retired
3014,retired
3015,technician
3016,management
3017,entrepreneur
3018,management
3019,student
3020,management
3021,retired
3022,retired
3023,retired
3024,services
3025,management
3026,housemaid
3027,student
3028,management
3029,retired
3030,services
3031,admin.
3032,retired
3033,retired
3034,technician
3035,self-employed
3036,unemployed
3037,admin.
3038,management
3039,retired
3040,blue-collar
3041,unemployed
3042,management
3043,retired
3044,management
3045,technician
3046,technician
3047,admin.
3048,management
3049,student
3050,management
3051,services
3052,unemployed
3053,management
3054,management
3055,retired
3056,technician
3057,retired
3058,admin.
3059,management
3060,retired
3061,unemployed
3062,technician
3063,blue-collar
3064,technician
3065,self-employed
3066,student
3067,retired
3068,student
3069,self-employed
3070,unemployed
3071,retired
3072,technician
3073,student
3074,management
3075,technician
3076,retired
3077,blue-collar
3078,technician
3079,unemployed
3080,admin.
3081,admin.
3082,services
3083,admin.
3084,retired
3085,management
3086,admin.
3087,retired
3088,retired
3089,retired
3090,technician
3091,blue-collar
3092,retired
3093,retired
3094,admin.
3095,retired
3096,management
3097,unemployed
3098,retired
3099,retired
3100,admin.
3101,retired
3102,unknown
3103,admin.
3104,services
3105,housemaid
3106,admin.
3107,student
3108,admin.
3109,technician
3110,retired
3111,student
3112,management
3113,services
3114,blue-collar
3115,management
3116,retired
3117,technician
3118,technician
3119,admin.
3120,admin.
3121,retired
3122,blue-collar
3123,retired
3124,admin.
3125,retired
3126,technician
3127,management
3128,management
3129,entrepreneur
3130,retired
3131,retired
3132,management
3133,student
3134,services
3135,housemaid
3136,technician
3137,technician
3138,retired
3139,technician
3140,admin.
3141,blue-collar
3142,technician
3143,management
3144,retired
3145,admin.
3146,retired
3147,management
3148,services
3149,management
3150,student
3151,retired
3152,admin.
3153,admin.
3154,technician
3155,unemployed
3156,retired
3157,technician
3158,blue-collar
3159,management
3160,admin.
3161,housemaid
3162,unemployed
3163,blue-collar
3164,admin.
3165,retired
3166,management
3167,student
3168,admin.
3169,management
3170,management
3171,student
3172,technician
3173,student
3174,student
3175,entrepreneur
3176,management
3177,admin.
3178,blue-collar
3179,admin.
3180,student
3181,admin.
3182,management
3183,unemployed
3184,student
3185,retired
3186,technician
3187,unemployed
3188,management
3189,management
3190,technician
3191,management
3192,unknown
3193,student
3194,retired
3195,admin.
3196,retired
3197,retired
3198,blue-collar
3199,management
3200,technician
3201,blue-collar
3202,self-employed
3203,retired
3204,retired
3205,blue-collar
3206,retired
3207,retired
3208,retired
3209,technician
3210,technician
3211,management
3212,unemployed
3213,management
3214,blue-collar
3215,management
3216,technician
3217,student
3218,technician
3219,management
3220,management
3221,services
3222,unemployed
3223,management
3224,technician
3225,services
3226,management
3227,technician
3228,student
3229,admin.
3230,management
3231,unemployed
3232,student
3233,management
3234,management
3235,student
3236,self-employed
3237,blue-collar
3238,management
3239,technician
3240,technician
3241,management
3242,retired
3243,services
3244,admin.
3245,management
3246,self-employed
3247,blue-collar
3248,student
3249,retired
3250,retired
3251,management
3252,management
3253,unknown
3254,management
3255,housemaid
3256,admin.
3257,retired
3258,management
3259,unemployed
3260,self-employed
3261,management
3262,management
3263,student
3264,housemaid
3265,admin.
3266,retired
3267,retired
3268,admin.
3269,self-employed
3270,services
3271,technician
3272,technician
3273,student
3274,management
3275,retired
3276,technician
3277,retired
3278,management
3279,technician
3280,management
3281,retired
3282,blue-collar
3283,technician
3284,services
3285,technician
3286,management
3287,technician
3288,retired
3289,technician
3290,student
3291,student
3292,retired
3293,student
3294,technician
3295,retired
3296,management
3297,management
3298,management
3299,admin.
3300,retired
3301,student
3302,admin.
3303,blue-collar
3304,retired
3305,retired
3306,services
3307,unemployed
3308,management
3309,services
3310,management
3311,retired
3312,technician
3313,unemployed
3314,unemployed
3315,management
3316,management
3317,retired
3318,management
3319,retired
3320,technician
3321,management
3322,management
3323,management
3324,services
3325,management
3326,student
3327,management
3328,blue-collar
3329,unemployed
3330,retired
3331,management
3332,unemployed
3333,retired
3334,admin.
3335,retired
3336,management
3337,retired
3338,blue-collar
3339,retired
3340,retired
3341,housemaid
3342,management
3343,admin.
3344,management
3345,retired
3346,unemployed
3347,admin.
3348,management
3349,blue-collar
3350,management
3351,management
3352,technician
3353,technician
3354,management
3355,management
3356,management
3357,admin.
3358,management
3359,self-employed
3360,student
3361,management
3362,services
3363,services
3364,management
3365,management
3366,management
3367,management
3368,technician
3369,self-employed
3370,admin.
3371,management
3372,services
3373,housemaid
3374,admin.
3375,retired
3376,management
3377,student
3378,management
3379,technician
3380,retired
3381,retired
3382,management
3383,technician
3384,blue-collar
3385,admin.
3386,admin.
3387,technician
3388,student
3389,student
3390,management
3391,technician
3392,management
3393,management
3394,management
3395,self-employed
3396,management
3397,retired
3398,technician
3399,management
3400,management
3401,management
3402,admin.
3403,unemployed
3404,admin.
3405,management
3406,management
3407,management
3408,management
3409,blue-collar
3410,management
3411,student
3412,technician
3413,services
3414,management
3415,retired
3416,technician
3417,technician
3418,management
3419,blue-collar
3420,technician
3421,management
3422,services
3423,management
3424,management
3425,management
3426,student
3427,management
3428,student
3429,unemployed
3430,blue-collar
3431,blue-collar
3432,technician
3433,admin.
3434,student
3435,blue-collar
3436,student
3437,technician
3438,management
3439,technician
3440,retired
3441,admin.
3442,self-employed
3443,technician
3444,retired
3445,management
3446,management
3447,admin.
3448,technician
3449,management
3450,blue-collar
3451,management
3452,technician
3453,unemployed
3454,blue-collar
3455,unemployed
3456,management
3457,admin.
3458,admin.
3459,retired
3460,retired
3461,self-employed
3462,management
3463,retired
3464,housemaid
3465,technician
3466,management
3467,unemployed
3468,retired
3469,admin.
3470,technician
3471,self-employed
3472,management
3473,student
3474,retired
3475,unemployed
3476,management
3477,technician
3478,admin.
3479,admin.
3480,blue-collar
3481,blue-collar
3482,unemployed
3483,housemaid
3484,retired
3485,management
3486,retired
3487,technician
3488,admin.
3489,technician
3490,management
3491,retired
3492,student
3493,retired
3494,student
3495,blue-collar
3496,technician
3497,management
3498,technician
3499,technician
3500,unknown
3501,management
3502,management
3503,management
3504,retired
3505,technician
3506,management
3507,services
3508,student
3509,technician
3510,unemployed
3511,unknown
3512,admin.
3513,retired
3514,management
3515,blue-collar
3516,technician
3517,management
3518,management
3519,retired
3520,blue-collar
3521,technician
3522,admin.
3523,management
3524,admin.
3525,admin.
3526,admin.
3527,management
3528,retired
3529,unemployed
3530,retired
3531,management
3532,management
3533,student
3534,management
3535,management
3536,management
3537,admin.
3538,retired
3539,retired
3540,retired
3541,admin.
3542,admin.
3543,technician
3544,technician
3545,management
3546,retired
3547,blue-collar
3548,technician
3549,self-employed
3550,unemployed
3551,student
3552,retired
3553,admin.
3554,student
3555,technician
3556,admin.
3557,unemployed
3558,management
3559,management
3560,technician
3561,services
3562,technician
3563,technician
3564,technician
3565,management
3566,admin.
3567,retired
3568,unemployed
3569,housemaid
3570,retired
3571,services
3572,technician
3573,blue-collar
3574,unemployed
3575,management
3576,services
3577,housemaid
3578,technician
3579,admin.
3580,technician
3581,admin.
3582,blue-collar
3583,services
3584,management
3585,management
3586,admin.
3587,blue-collar
3588,admin.
3589,admin.
3590,technician
3591,admin.
3592,technician
3593,retired
3594,retired
3595,management
3596,retired
3597,blue-collar
3598,management
3599,services
3600,blue-collar
3601,retired
3602,blue-collar
3603,management
3604,student
3605,technician
3606,student
3607,admin.
3608,admin.
3609,admin.
3610,retired
3611,services
3612,retired
3613,self-employed
3614,retired
3615,admin.
3616,management
3617,technician
3618,retired
3619,student
3620,housemaid
3621,management
3622,technician
3623,technician
3624,technician
3625,management
3626,blue-collar
3627,technician
3628,blue-collar
3629,blue-collar
3630,management
3631,retired
3632,management
3633,management
3634,management
3635,student
3636,services
3637,self-employed
3638,management
3639,technician
3640,blue-collar
3641,technician
3642,technician
3643,management
3644,management
3645,management
3646,housemaid
3647,technician
3648,admin.
3649,retired
3650,management
3651,retired
3652,retired
3653,blue-collar
3654,blue-collar
3655,admin.
3656,services
3657,unemployed
3658,management
3659,technician
3660,admin.
3661,management
3662,technician
3663,retired
3664,management
3665,retired
3666,student
3667,services
3668,blue-collar
3669,student
3670,management
3671,services
3672,technician
3673,admin.
3674,management
3675,management
3676,technician
3677,technician
3678,management
3679,services
3680,management
3681,retired
3682,management
3683,retired
3684,management
3685,self-employed
3686,retired
3687,management
3688,student
3689,services
3690,retired
3691,student
3692,blue-collar
3693,admin.
3694,technician
3695,unknown
3696,technician
3697,admin.
3698,self-employed
3699,admin.
3700,self-employed
3701,retired
3702,management
3703,retired
3704,blue-collar
3705,management
3706,retired
3707,student
3708,technician
3709,management
3710,blue-collar
3711,management
3712,retired
3713,student
3714,technician
3715,technician
3716,retired
3717,student
3718,technician
3719,retired
3720,management
3721,student
3722,retired
3723,management
3724,retired
3725,admin.
3726,retired
3727,blue-collar
3728,student
3729,services
3730,retired
3731,student
3732,student
3733,management
3734,unemployed
3735,technician
3736,technician
3737,technician
3738,admin.
3739,management
3740,entrepreneur
3741,management
3742,management
3743,retired
3744,admin.
3745,unemployed
3746,blue-collar
3747,management
3748,admin.
3749,admin.
3750,management
3751,unemployed
3752,admin.
3753,management
3754,management
3755,technician
3756,retired
3757,management
3758,admin.
3759,management
3760,admin.
3761,technician
3762,student
3763,technician
3764,management
3765,retired
3766,technician
3767,admin.
3768,self-employed
3769,self-employed
3770,management
3771,management
3772,technician
3773,retired
3774,admin.
3775,housemaid
3776,technician
3777,technician
3778,student
3779,blue-collar
3780,management
3781,retired
3782,technician
3783,management
3784,admin.
3785,unemployed
3786,retired
3787,services
3788,management
3789,management
3790,retired
3791,technician
3792,admin.
3793,management
3794,retired
3795,technician
3796,student
3797,management
3798,management
3799,technician
3800,admin.
3801,management
3802,management
3803,student
3804,student
3805,management
3806,retired
3807,technician
3808,services
3809,housemaid
3810,management
3811,retired
3812,blue-collar
3813,retired
3814,retired
3815,management
3816,entrepreneur
3817,admin.
3818,admin.
3819,unemployed
3820,unemployed
3821,management
3822,retired
3823,technician
3824,housemaid
3825,services
3826,management
3827,technician
3828,technician
3829,technician
3830,management
3831,management
3832,technician
3833,management
3834,admin.
3835,housemaid
3836,management
3837,entrepreneur
3838,management
3839,student
3840,management
3841,blue-collar
3842,student
3843,management
3844,admin.
3845,admin.
3846,blue-collar
3847,blue-collar
3848,management
3849,management
3850,admin.
3851,technician
3852,student
3853,blue-collar
3854,management
3855,unemployed
3856,technician
3857,student
3858,technician
3859,entrepreneur
3860,admin.
3861,retired
3862,blue-collar
3863,student
3864,entrepreneur
3865,retired
3866,technician
3867,student
3868,management
3869,self-employed
3870,management
3871,management
3872,blue-collar
3873,retired
3874,blue-collar
3875,blue-collar
3876,blue-collar
3877,self-employed
3878,admin.
3879,student
3880,blue-collar
3881,unemployed
3882,unemployed
3883,unknown
3884,services
3885,self-employed
3886,housemaid
3887,admin.
3888,management
3889,technician
3890,management
3891,retired
3892,services
3893,technician
3894,blue-collar
3895,student
3896,retired
3897,admin.
3898,housemaid
3899,self-employed
3900,admin.
3901,management
3902,management
3903,admin.
3904,management
3905,services
3906,blue-collar
3907,admin.
3908,retired
3909,management
3910,management
3911,admin.
3912,retired
3913,unknown
3914,entrepreneur
3915,management
3916,student
3917,unemployed
3918,student
3919,student
3920,admin.
3921,technician
3922,management
3923,management
3924,unemployed
3925,admin.
3926,admin.
3927,retired
3928,technician
3929,services
3930,management
3931,management
3932,retired
3933,blue-collar
3934,management
3935,admin.
3936,management
3937,unemployed
3938,student
3939,management
3940,student
3941,retired
3942,management
3943,management
3944,retired
3945,retired
3946,student
3947,student
3948,management
3949,management
3950,unemployed
3951,admin.
3952,retired
3953,technician
3954,admin.
3955,student
3956,retired
3957,management
3958,admin.
3959,unemployed
3960,services
3961,student
3962,management
3963,retired
3964,admin.
3965,management
3966,retired
3967,student
3968,entrepreneur
3969,blue-collar
3970,management
3971,management
3972,admin.
3973,management
3974,retired
3975,management
3976,technician
3977,management
3978,admin.
3979,retired
3980,housemaid
3981,retired
3982,management
3983,retired
3984,student
3985,admin.
3986,management
3987,student
3988,management
3989,retired
3990,management
3991,services
3992,management
3993,technician
3994,entrepreneur
3995,management
3996,admin.
3997,management
3998,unemployed
3999,management
4000,management
4001,housemaid
4002,services
4003,unemployed
4004,admin.
4005,management
4006,blue-collar
4007,management
4008,admin.
4009,blue-collar
4010,management
4011,services
4012,services
4013,retired
4014,management
4015,services
4016,retired
4017,retired
4018,management
4019,services
4020,student
4021,retired
4022,self-employed
4023,self-employed
4024,management
4025,unemployed
4026,admin.
4027,management
4028,student
4029,services
4030,technician
4031,admin.
4032,admin.
4033,unknown
4034,technician
4035,retired
4036,management
4037,admin.
4038,management
4039,student
4040,management
4041,management
4042,self-employed
4043,self-employed
4044,blue-collar
4045,technician
4046,management
4047,technician
4048,retired
4049,unemployed
4050,admin.
4051,unemployed
4052,management
4053,technician
4054,admin.
4055,management
4056,blue-collar
4057,management
4058,management
4059,management
4060,retired
4061,student
4062,management
4063,technician
4064,management
4065,management
4066,admin.
4067,technician
4068,retired
4069,retired
4070,technician
4071,blue-collar
4072,management
4073,admin.
4074,retired
4075,management
4076,retired
4077,admin.
4078,admin.
4079,student
4080,management
4081,management
4082,admin.
4083,admin.
4084,technician
4085,technician
4086,management
4087,student
4088,retired
4089,entrepreneur
4090,student
4091,technician
4092,entrepreneur
4093,technician
4094,technician
4095,admin.
4096,unemployed
4097,retired
4098,blue-collar
4099,entrepreneur
4100,admin.
4101,blue-collar
4102,services
4103,services
4104,management
4105,blue-collar
4106,retired
4107,management
4108,retired
4109,student
4110,management
4111,technician
4112,management
4113,admin.
4114,student
4115,retired
4116,technician
4117,technician
4118,retired
4119,technician
4120,management
4121,management
4122,technician
4123,services
4124,student
4125,unemployed
4126,admin.
4127,management
4128,admin.
4129,unemployed
4130,admin.
4131,management
4132,unemployed
4133,self-employed
4134,management
4135,student
4136,management
4137,management
4138,blue-collar
4139,technician
4140,admin.
4141,technician
4142,management
4143,unemployed
4144,retired
4145,housemaid
4146,management
4147,blue-collar
4148,services
4149,blue-collar
4150,management
4151,unemployed
4152,management
4153,services
4154,blue-collar
4155,student
4156,admin.
4157,technician
4158,management
4159,management
4160,self-employed
4161,technician
4162,blue-collar
4163,student
4164,technician
4165,housemaid
4166,management
4167,technician
4168,housemaid
4169,unemployed
4170,services
4171,admin.
4172,technician
4173,management
4174,technician
4175,management
4176,student
4177,services
4178,admin.
4179,management
4180,management
4181,unknown
4182,admin.
4183,housemaid
4184,retired
4185,management
4186,admin.
4187,retired
4188,unemployed
4189,technician
4190,management
4191,admin.
4192,management
4193,management
4194,technician
4195,housemaid
4196,services
4197,technician
4198,technician
4199,management
4200,technician
4201,housemaid
4202,retired
4203,technician
4204,technician
4205,student
4206,retired
4207,management
4208,entrepreneur
4209,unemployed
4210,technician
4211,technician
4212,technician
4213,admin.
4214,management
4215,management
4216,admin.
4217,retired
4218,blue-collar
4219,student
4220,management
4221,management
4222,technician
4223,self-employed
4224,student
4225,management
4226,blue-collar
4227,technician
4228,admin.
4229,admin.
4230,management
4231,student
4232,services
4233,technician
4234,self-employed
4235,management
4236,admin.
4237,services
4238,management
4239,retired
4240,technician
4241,management
4242,admin.
4243,retired
4244,services
4245,technician
4246,admin.
4247,management
4248,retired
4249,student
4250,technician
4251,services
4252,technician
4253,management
4254,technician
4255,admin.
4256,admin.
4257,management
4258,student
4259,technician
4260,management
4261,technician
4262,services
4263,entrepreneur
4264,technician
4265,technician
4266,management
4267,technician
4268,management
4269,services
4270,unknown
4271,entrepreneur
4272,technician
4273,retired
4274,technician
4275,blue-collar
4276,management
4277,admin.
4278,management
4279,management
4280,student
4281,technician
4282,technician
4283,management
4284,technician
4285,entrepreneur
4286,retired
4287,management
4288,admin.
4289,student
4290,services
4291,student
4292,admin.
4293,admin.
4294,student
4295,admin.
4296,management
4297,self-employed
4298,unknown
4299,management
4300,technician
4301,technician
4302,blue-collar
4303,management
4304,blue-collar
4305,management
4306,management
4307,self-employed
4308,management
4309,blue-collar
4310,services
4311,admin.
4312,self-employed
4313,services
4314,blue-collar
4315,retired
4316,management
4317,management
4318,retired
4319,admin.
4320,management
4321,blue-collar
4322,management
4323,admin.
4324,technician
4325,management
4326,management
4327,management
4328,blue-collar
4329,blue-collar
4330,blue-collar
4331,management
4332,services
4333,technician
4334,technician
4335,management
4336,blue-collar
4337,services
4338,services
4339,self-employed
4340,management
4341,admin.
4342,technician
4343,admin.
4344,blue-collar
4345,management
4346,management
4347,admin.
4348,technician
4349,blue-collar
4350,technician
4351,services
4352,management
4353,technician
4354,technician
4355,housemaid
4356,unemployed
4357,admin.
4358,self-employed
4359,management
4360,student
4361,retired
4362,management
4363,student
4364,admin.
4365,blue-collar
4366,services
4367,management
4368,retired
4369,technician
4370,admin.
4371,technician
4372,services
4373,management
4374,blue-collar
4375,retired
4376,retired
4377,self-employed
4378,management
4379,management
4380,management
4381,management
4382,management
4383,blue-collar
4384,blue-collar
4385,management
4386,management
4387,services
4388,retired
4389,management
4390,technician
4391,technician
4392,technician
4393,technician
4394,unemployed
4395,admin.
4396,blue-collar
4397,technician
4398,technician
4399,management
4400,blue-collar
4401,management
4402,housemaid
4403,blue-collar
4404,unemployed
4405,blue-collar
4406,technician
4407,housemaid
4408,blue-collar
4409,services
4410,admin.
4411,admin.
4412,technician
4413,management
4414,housemaid
4415,management
4416,technician
4417,blue-collar
4418,services
4419,services
4420,services
4421,technician
4422,unemployed
4423,blue-collar
4424,student
4425,services
4426,admin.
4427,management
4428,management
4429,technician
4430,technician
4431,management
4432,retired
4433,self-employed
4434,management
4435,retired
4436,management
4437,management
4438,housemaid
4439,management
4440,management
4441,technician
4442,retired
4443,services
4444,blue-collar
4445,management
4446,admin.
4447,management
4448,blue-collar
4449,admin.
4450,technician
4451,technician
4452,blue-collar
4453,management
4454,housemaid
4455,retired
4456,student
4457,technician
4458,services
4459,retired
4460,student
4461,blue-collar
4462,management
4463,blue-collar
4464,housemaid
4465,technician
4466,admin.
4467,blue-collar
4468,services
4469,services
4470,admin.
4471,technician
4472,blue-collar
4473,admin.
4474,student
4475,student
4476,technician
4477,retired
4478,unemployed
4479,management
4480,technician
4481,student
4482,blue-collar
4483,management
4484,services
4485,self-employed
4486,management
4487,technician
4488,admin.
4489,management
4490,management
4491,management
4492,admin.
4493,unemployed
4494,technician
4495,admin.
4496,services
4497,housemaid
4498,management
4499,admin.
4500,management
4501,admin.
4502,management
4503,technician
4504,management
4505,management
4506,admin.
4507,student
